,PE1,PE2,PE3,EE1,EE2,EE3,SI1,SI2,SI3,FC1,FC2,FC3,HM1,HM2,HM3,PR1,PR2,PR3,HB1,HB2,HB3,TS1,TS2,TS3,PI1,PI2,PI3,IF1,IF2,IF3,LF1,LF2,LF3,BI1,BI2,BI3
25,6,6,6,6,7,3,6,6,6,3,7,4,6,6,7,5,7,5,6,6,6,7,3,6,6,6,3,6,3,7,4,6,6,7,5,7
26,6,7,6,3,7,4,3,7,3,4,6,7,5,5,7,6,7,6,7,6,3,7,4,3,7,3,4,3,4,6,7,5,5,7,6,7
27,3,6,3,4,6,7,6,7,7,5,5,7,3,7,6,7,6,7,6,3,4,6,7,6,7,7,5,7,5,5,7,3,7,6,7,6
28,4,7,4,7,5,7,5,6,6,7,6,7,5,7,6,6,6,6,7,4,7,5,7,5,6,6,7,6,7,6,7,5,7,6,6,6
29,7,7,7,7,3,6,7,5,5,7,7,6,6,6,3,7,3,7,7,7,7,3,6,7,5,5,7,5,7,7,6,6,6,3,7,3
30,7,6,7,6,3,5,7,3,7,6,6,6,7,6,4,7,4,7,6,7,6,3,5,7,3,7,6,7,6,6,6,7,6,4,7,4
31,6,5,6,5,5,7,6,5,7,6,7,3,6,3,7,6,7,6,5,6,5,5,7,6,5,7,6,7,6,7,3,6,3,7,6,7
32,5,3,5,7,6,7,6,6,6,3,7,4,7,7,7,5,7,5,3,5,7,6,7,6,6,6,3,6,3,7,4,7,7,7,5,7
33,7,5,7,7,7,6,3,7,6,4,6,7,7,7,6,5,7,6,5,7,7,7,6,3,7,6,4,6,4,6,7,7,7,6,5,7
34,7,6,7,6,6,6,4,6,3,7,5,7,6,6,5,3,6,5,6,7,6,6,6,4,6,3,7,3,7,5,7,6,6,5,3,6
35,6,7,6,6,7,3,7,7,7,7,3,6,5,5,7,3,5,3,7,6,6,7,3,7,7,7,7,7,7,3,6,5,5,7,3,5
36,6,6,6,3,7,4,7,7,7,6,3,5,3,7,7,5,7,5,6,6,3,7,4,7,7,7,6,7,6,3,5,3,7,7,5,7
37,3,7,3,4,6,7,6,6,6,5,5,7,5,7,6,6,7,6,7,3,4,6,7,6,6,6,5,6,5,5,7,5,7,6,6,7
38,4,7,7,7,5,7,5,5,5,7,6,7,6,6,6,7,6,7,7,7,7,5,7,5,5,5,7,5,7,6,7,6,6,6,7,6
39,7,6,7,7,3,6,7,3,7,7,7,6,7,6,3,6,6,6,6,7,7,3,6,7,3,7,7,7,7,7,6,7,6,3,6,6
40,7,5,6,6,3,5,7,5,7,6,6,6,6,3,4,7,3,7,5,6,6,3,5,7,5,7,6,7,6,6,6,6,3,4,7,3
41,6,3,5,5,5,7,6,6,6,6,7,3,7,7,3,7,4,7,3,5,5,5,7,6,6,6,6,6,6,7,3,7,7,3,7,4
42,5,5,7,7,6,7,6,7,6,3,7,4,7,6,3,6,7,6,5,7,7,6,7,6,7,6,3,6,3,7,4,7,6,3,6,7
43,7,6,7,7,7,6,3,6,3,4,6,7,6,5,5,5,7,5,6,7,7,7,6,3,6,3,4,3,4,6,7,6,5,5,5,7
44,7,7,6,6,6,6,4,7,4,7,5,7,5,7,6,5,7,6,7,6,6,6,6,4,7,4,7,4,7,5,7,5,7,6,5,7
45,6,6,6,6,7,3,7,7,7,7,3,6,7,7,7,3,6,5,6,6,6,7,3,7,7,7,7,7,7,3,6,7,7,7,3,6
46,6,7,3,3,7,4,7,6,7,6,3,5,7,6,6,3,5,3,7,3,3,7,4,7,6,7,6,7,6,3,5,7,6,6,3,5
47,3,7,4,4,6,7,6,5,6,5,5,7,6,6,7,5,7,5,7,4,4,6,7,6,5,6,5,6,5,5,7,6,6,7,5,7
48,4,6,7,7,5,7,5,3,5,7,6,7,6,3,7,6,7,6,6,7,7,5,7,5,3,5,7,5,7,6,7,6,3,7,6,7
49,7,5,7,7,3,6,7,5,7,7,7,6,3,4,6,7,6,7,5,7,7,3,6,7,5,7,7,7,7,7,6,3,4,6,7,6
50,7,3,6,6,3,5,7,6,7,6,6,6,7,7,3,6,6,6,3,6,6,3,5,7,6,7,6,7,6,6,6,7,7,3,6,6
51,6,5,5,5,5,7,6,7,6,6,7,3,7,6,3,7,3,7,5,5,5,5,7,6,7,6,6,6,6,7,3,7,6,3,7,3
52,5,6,7,7,6,7,6,6,6,3,7,4,6,5,5,7,4,7,6,7,7,6,7,6,6,6,3,6,3,7,4,6,5,5,7,4
53,7,7,7,7,7,6,3,7,3,4,6,7,5,7,6,6,7,6,7,7,7,7,6,3,7,3,4,3,4,6,7,5,7,6,6,7
54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
