CASE,SERIAL,REF,QUESTNNR,MODE,STARTED,GE01,AG01_01,PE01_01,PE01_02,PE01_03,PE01_04,EE01_01,EE01_02,EE01_03,SI01_01,SI01_02,SI01_03,FC01_01,FC01_02,FC01_03,HM01_01,HM01_02,HM01_03,PR01_01,PR01_02,PR01_03,PR01_04,HB01_01,HB01_02,HB01_03,TS01_05,TS01_06,TS01_07,PI01_01,PI01_02,PI01_03,IF01_01,IF01_02,IF01_03,IF01_04,IF01_05,LF01_01,LF01_02,LF01_03,LF01_04,LF01_05,BI01_01,BI01_02,BI01_03,TIME001,TIME002,TIME003,TIME004,TIME005,TIME006,TIME007,TIME008,TIME009,TIME010,TIME011,TIME012,TIME013,TIME014,TIME_SUM,MAILSENT,LASTDATA,FINISHED,Q_VIEWER,LASTPAGE,MAXPAGE,MISSING,MISSREL,TIME_RSI,DEG_TIME
232,CASE000206,206,commericaltransport,interview,2022-02-24 09:40:18,1,29,5,6,6,6,5,6,6,6,6,6,5,5,5,6,6,6,6,6,5,3,6,5,5,5,7,7,6,3,5,3,6,5,4,6,4,6,4,6,7,6,4,7,26,6,26,22,26,17,12,25,24,20,18,33,27,14,0,#DIV/0!,44617,1,0,14,14,1,1,#DIV/0!,100
237,CASE000216,216,commericaltransport,interview,2022-02-24 22:05:32,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-02-27 22:09:25,1,0,14,14,0,0,,100
228,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,44616,1,29,6,7,6,7,5,6,6,7,6,6,6,6,5,6,6,6,7,6,5,3,7,5,6,5,7,7,6,3,6,3,7,5,5,6,5,6,4,7,7,7,4,7,22,6,24,20,22,17,12,24,22,19,18,31,27,13,0,#DIV/0!,44618,1,0,14,14,1,1,#DIV/0!,100
241,CASE000196,196,commericaltransport,interview,2022-02-23 20:34:34,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-02-28 22:09:25,1,0,14,14,0,0,,100
245,CASE000202,202,privatetransport,interview,2022-02-23 22:01:14,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,17,5,23,19,17,17,12,22,18,18,17,30,27,13,0,#DIV/0!,44619,1,0,14,14,0,0,#DIV/0!,100
250,CASE000204,204,privatetransport,interview,2022-02-23 23:27:37,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-03-01 22:09:25,1,0,14,14,0,0,,100
254,CASE000206,206,commericaltransport,interview,2022-02-24 09:40:18,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,15,5,22,18,16,17,12,22,17,18,17,29,27,12,0,#DIV/0!,44620,1,0,14,14,0,0,#DIV/0!,100
259,CASE000216,216,commericaltransport,interview,2022-02-24 22:05:32,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-03-02 22:09:25,1,0,14,14,0,0,,100
250,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,44616,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,14,5,21,17,14,17,12,21,16,17,16,29,27,12,0,#DIV/0!,44621,1,0,14,14,0,0,#DIV/0!,100
263,CASE000196,196,commericaltransport,interview,2022-02-23 20:34:34,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-03-03 22:09:25,1,0,14,14,0,0,,100
267,CASE000202,202,privatetransport,interview,2022-02-23 22:01:14,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,13,5,21,17,14,17,12,21,16,17,16,28,27,12,0,#DIV/0!,44622,1,0,14,14,0,0,#DIV/0!,100
272,CASE000204,204,privatetransport,interview,2022-02-23 23:27:37,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-03-04 22:09:25,1,0,14,14,0,0,,100
276,CASE000206,206,commericaltransport,interview,2022-02-24 09:40:18,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,#DIV/0!,44623,1,0,14,14,0,0,#DIV/0!,100
281,CASE000216,216,commericaltransport,interview,2022-02-24 22:05:32,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-03-05 22:09:25,1,0,14,14,0,0,,100
272,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,44616,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,#DIV/0!,44624,1,0,14,14,0,0,#DIV/0!,100
285,CASE000196,196,commericaltransport,interview,2022-02-23 20:34:34,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-03-06 22:09:25,1,0,14,14,0,0,,100
289,CASE000202,202,privatetransport,interview,2022-02-23 22:01:14,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,#DIV/0!,44625,1,0,14,14,0,0,#DIV/0!,100
294,CASE000204,204,privatetransport,interview,2022-02-23 23:27:37,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-03-07 22:09:25,1,0,14,14,0,0,,100
298,CASE000206,206,commericaltransport,interview,2022-02-24 09:40:18,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,#DIV/0!,44626,1,0,14,14,0,0,#DIV/0!,100
303,CASE000216,216,commericaltransport,interview,2022-02-24 22:05:32,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-03-08 22:09:25,1,0,14,14,0,0,,100
294,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,44616,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,#DIV/0!,44627,1,0,14,14,0,0,#DIV/0!,100
307,CASE000196,196,commericaltransport,interview,2022-02-23 20:34:34,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-03-09 22:09:25,1,0,14,14,0,0,,100
311,CASE000202,202,privatetransport,interview,2022-02-23 22:01:14,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,#DIV/0!,44628,1,0,14,14,0,0,#DIV/0!,100
316,CASE000204,204,privatetransport,interview,2022-02-23 23:27:37,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-03-10 22:09:25,1,0,14,14,0,0,,100
320,CASE000206,206,commericaltransport,interview,2022-02-24 09:40:18,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,#DIV/0!,44629,1,0,14,14,0,0,#DIV/0!,100
325,CASE000216,216,commericaltransport,interview,2022-02-24 22:05:32,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-03-11 22:09:25,1,0,14,14,0,0,,100
316,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,44616,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,#DIV/0!,44630,1,0,14,14,0,0,#DIV/0!,100
329,CASE000196,196,commericaltransport,interview,2022-02-23 20:34:34,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-03-12 22:09:25,1,0,14,14,0,0,,100
333,CASE000202,202,privatetransport,interview,2022-02-23 22:01:14,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,#DIV/0!,44631,1,0,14,14,0,0,#DIV/0!,100
338,CASE000204,204,privatetransport,interview,2022-02-23 23:27:37,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-03-13 22:09:25,1,0,14,14,0,0,,100
342,CASE000206,206,commericaltransport,interview,2022-02-24 09:40:18,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,#DIV/0!,44632,1,0,14,14,0,0,#DIV/0!,100
347,CASE000216,216,commericaltransport,interview,2022-02-24 22:05:32,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-03-14 22:09:25,1,0,14,14,0,0,,100
338,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,44616,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,#DIV/0!,44633,1,0,14,14,0,0,#DIV/0!,100
351,CASE000196,196,commericaltransport,interview,2022-02-23 20:34:34,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-03-15 22:09:25,1,0,14,14,0,0,,100
355,CASE000202,202,privatetransport,interview,2022-02-23 22:01:14,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,#DIV/0!,44634,1,0,14,14,0,0,#DIV/0!,100
360,CASE000204,204,privatetransport,interview,2022-02-23 23:27:37,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-03-16 22:09:25,1,0,14,14,0,0,,100
364,CASE000206,206,commericaltransport,interview,2022-02-24 09:40:18,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,#DIV/0!,44635,1,0,14,14,0,0,#DIV/0!,100
369,CASE000216,216,commericaltransport,interview,2022-02-24 22:05:32,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,,2022-03-17 22:09:25,1,0,14,14,0,0,,100
360,#DIV/0!,#DIV/0!,#DIV/0!,#DIV/0!,44616,1,30,6,7,6,7,5,6,6,7,7,7,6,6,6,7,6,6,7,6,5,3,7,5,6,5,7,7,7,3,6,3,7,6,5,6,5,6,4,7,7,7,4,7,12,5,21,17,13,17,12,21,15,17,16,28,27,12,0,#DIV/0!,44636,1,0,14,14,0,0,#DIV/0!,100
